Pestisit,Urun,MRL_Limiti,Buhar_Basinci_Ref_25C,Sicaklik_C,Sicaklik_Sinifi,Ucuculuk_Gosterge_Index,Ucuculuk_Sinifi,1ml_Saf_Madde_ppm,Uygulanan_Ilac_Miktari_ml,Tahmini_Kalinti_ppm,Etiket
Ethiprole,Rice,3.0,0.01,31.1,1,-2.042,Dusuk,1200.0,91.24,2.6134,0
Dichlorvos,"Rice bran, unprocessed",15.0,0.01,26.6,1,-2.0117,Dusuk,1200.0,215.72,21.1535,1
Bifenthrin,Citrus fruits (group),0.05,0.01,17.1,0,-1.9483,Orta,1200.0,1.86,0.0345,0
Phorate,Maize flour,0.05,0.01,22.5,0,-1.9845,Orta,1200.0,4.7,0.0739,1
Isoflucypram,Triticale,0.05,0.01,17.4,0,-1.9497,Orta,1200.0,4.46,0.0422,0
Spirotetramat,Grapes,2.0,0.01,15.3,0,-1.936,Orta,1200.0,182.33,2.5002,1
Kresoxim-Methyl,Poultry meat,0.02,0.01,31.0,1,-2.0416,Dusuk,1200.0,0.12,0.0127,0
Bifenthrin,"Raspberries, red, black",1.0,0.01,31.3,1,-2.0431,Dusuk,1200.0,15.11,1.2091,1
Zoxamide,"Grape, dried (= Currants, Raisins and Sultanas)",15.0,0.01,16.2,0,-1.9422,Orta,1200.0,2048.05,18.1193,1
Chlormequat,"Rye bran, unprocessed",20.0,0.01,27.7,1,-2.019,Dusuk,1200.0,373.83,22.0241,1
Oxamyl,"Peppers chili, dried",0.01,0.01,28.3,1,-2.0229,Dusuk,1200.0,0.55,0.0139,1
Bifenthrin,Meat (from mammals other than marine mammals),3.0,0.01,31.9,1,-2.0473,Dusuk,1200.0,101.71,3.7242,1
Clethodim,Cotton seed,0.5,0.01,24.5,0,-1.9974,Orta,1200.0,27.86,0.3679,0
Imazapic,Edible offal (mammalian),1.0,0.01,27.2,1,-2.0159,Dusuk,1200.0,16.13,1.121,1
Ametoctradin,Grapes,6.0,0.01,29.7,1,-2.0322,Dusuk,1200.0,142.05,6.8179,1
Acetochlor,Poultry meat,0.02,22.0,33.2,1,1.38,Yuksek,1120.0,3.97,0.0169,0
Piperonyl Butoxide,Milks,0.05,0.01,15.0,0,-1.934,Orta,1200.0,1.17,0.0256,0
Flumioxazin,Milks,0.02,0.01,25.2,1,-2.0023,Dusuk,1200.0,0.16,0.0131,0
Clethodim,"Onion, bulb",0.5,0.01,17.8,0,-1.9529,Orta,1200.0,22.24,0.5685,1
Clothianidin,Mints,0.3,0.01,17.9,0,-1.9534,Orta,1200.0,14.24,0.2114,0
Dimethoate,Avocado,2.0,0.01,27.9,1,-2.0204,Dusuk,1200.0,32.42,1.7384,0
Bicyclopyrone,Sweet corn fodder,0.5,0.01,20.8,0,-1.973,Orta,1200.0,51.64,0.7006,1
Flumioxazin,"Fruiting vegetables, cucurbits (group)",0.02,0.01,22.3,0,-1.9832,Orta,1200.0,1.38,0.0235,1
Permethrin,"Lettuce, head",2.0,0.01,21.3,0,-1.9759,Orta,1200.0,51.93,1.113,0
Fenbutatin Oxide,"Citrus pulp, dried",25.0,0.01,27.2,1,-2.0156,Dusuk,1200.0,132.28,14.312,0
Acetochlor,Peas (dry),0.02,22.0,34.2,1,1.3847,Yuksek,1120.0,13.5,0.0193,0
Isoxaflutole,Soya bean (dry),0.04,0.01,24.9,0,-2.0,Dusuk,1200.0,1.37,0.042,1
Chlordane,"Soya bean oil, refined",0.02,0.01,32.0,1,-2.0481,Dusuk,1200.0,0.25,0.0096,0
Fenamiphos,Banana,0.05,0.01,27.4,1,-2.0172,Dusuk,1200.0,2.16,0.0653,1
Fenitrothion,Eggs,0.05,0.01,29.0,1,-2.0275,Dusuk,1200.0,0.54,0.0601,1
Quinoxyfen,Eggs,0.01,0.01,20.0,0,-1.9675,Orta,1200.0,0.53,0.0122,1
Imidacloprid,Cauliflower,0.5,4e-07,33.3,1,-6.5795,Cok Dusuk (Kalici),1540.0,1.33,0.5744,1
Pyrethrins,Citrus fruits (group),0.05,0.01,18.4,0,-1.9569,Orta,1200.0,2.87,0.056,1
Diflubenzuron,Peppers chili,3.0,0.01,15.5,0,-1.9369,Orta,1200.0,304.36,3.1821,1
2-Phenylphenol,Orange juice,0.5,0.01,21.8,0,-1.9793,Orta,1200.0,89.77,0.6879,1
Fenamidone,Tomato paste,4.0,0.01,17.0,0,-1.9473,Orta,1200.0,276.46,4.3213,1
Methomyl,Peas (pods and succulent=immature seeds),5.0,0.01,16.3,0,-1.9429,Orta,1200.0,182.12,3.4796,0
Mesotrione,Millet,0.01,0.01,22.4,0,-1.9835,Orta,1200.0,0.72,0.0061,0
Cyfluthrin/beta-cyfluthrin,Cauliflower,2.0,0.01,32.3,1,-2.05,Dusuk,1200.0,18.47,2.1109,1
Acetochlor,Eggs,0.02,22.0,25.2,1,1.3442,Yuksek,1120.0,5.41,0.0243,1
Malathion,Grapes,5.0,0.01,30.7,1,-2.039,Dusuk,1200.0,176.05,6.3999,1
Clothianidin,Stone fruits (group),0.2,0.01,29.0,1,-2.0278,Dusuk,1200.0,2.88,0.2198,1
Parathion-Methyl,Bean (dry),0.05,0.01,18.7,0,-1.9589,Orta,1200.0,6.73,0.0408,0
Cycloxydim,"Poultry, edible offal of",0.02,0.01,20.0,0,-1.9672,Orta,1200.0,0.72,0.0153,0
Permethrin,"Squash, summer",0.5,0.01,18.4,0,-1.957,Orta,1200.0,69.8,0.5535,1
Imidacloprid,Radish leaves (including radish tops),5.0,4e-07,25.7,1,-6.416,Cok Dusuk (Kalici),1540.0,11.6,3.722,0
Propiconazole,Popcorn,0.05,0.01,15.9,0,-1.9397,Orta,1200.0,3.19,0.0688,1
Diflubenzuron,Peppers chili,3.0,0.01,26.1,1,-2.0081,Dusuk,1200.0,38.81,3.7091,1
Phorate,"Spices, seeds",0.5,0.01,20.0,0,-1.9676,Orta,1200.0,43.39,0.7555,1
Sulfoxaflor,Sweet corn (corn on the cob) (kernels plus cob with husk removed),0.01,0.01,30.3,1,-2.0363,Dusuk,1200.0,0.15,0.0099,0
Fenamiphos,Cotton seed,0.05,0.01,17.6,0,-1.9515,Orta,1200.0,1.74,0.0428,0
Piperonyl Butoxide,Tomato juice,0.3,0.01,30.9,1,-2.0408,Dusuk,1200.0,4.2,0.2902,0
Glufosinate-Ammonium,Assorted tropical and sub-tropical fruits - edible peel,0.1,0.01,34.3,1,-2.0636,Dusuk,1200.0,1.92,0.1225,1
"2,4-D",Soya bean (dry),0.01,0.01,17.3,0,-1.9496,Orta,1200.0,0.77,0.0136,1
Propiconazole,Barley,2.0,0.01,30.7,1,-2.0391,Dusuk,1200.0,24.48,1.5148,0
Fipronil,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)",0.02,0.01,23.0,0,-1.9875,Orta,1200.0,0.65,0.0117,0
Pinoxaden,Eggs,0.02,0.01,20.7,0,-1.9721,Orta,1200.0,2.83,0.0166,0
Oxydemeton-Methyl,Kohlrabi,0.05,0.01,33.1,1,-2.0555,Dusuk,1200.0,1.63,0.0366,0
Quintozene,Broccoli,0.05,0.01,18.0,0,-1.9543,Orta,1200.0,3.03,0.0501,1
Tebufenozide,Grapes,2.0,0.01,34.3,1,-2.0637,Dusuk,1200.0,61.18,2.9049,1
Prothioconazole,Sweet corn fodder,15.0,0.01,27.6,1,-2.0185,Dusuk,1200.0,262.71,17.0488,1
Broflanilide,Wheat germ,0.002,0.01,21.2,0,-1.9755,Orta,1200.0,0.19,0.0022,1
Flutriafol,"Lettuce, head",1.5,0.01,20.8,0,-1.9727,Orta,1200.0,80.58,1.3994,0
Imidacloprid,Olives for oil production,2.0,4e-07,25.9,1,-6.4208,Cok Dusuk (Kalici),1540.0,3.86,1.1398,0
Glufosinate-Ammonium,Eggs,0.05,0.01,31.1,1,-2.042,Dusuk,1200.0,0.61,0.0729,1
Abamectin,"Grape, dried (= Currants, Raisins and Sultanas)",0.1,2e-07,32.5,1,-6.8714,Cok Dusuk (Kalici),1160.0,0.47,0.1108,1
Methamidophos,"Artichoke, globe",0.2,0.01,17.6,0,-1.9511,Orta,1200.0,10.55,0.0967,0
Imidacloprid,"Peppers chili, dried",10.0,4e-07,34.8,1,-6.6107,Cok Dusuk (Kalici),1540.0,56.39,13.2798,1
Dichlorvos,"Rice, polished",0.15,0.01,30.9,1,-2.0407,Dusuk,1200.0,1.17,0.1023,0
Flupyradifurone,Milks,0.7,0.01,34.5,1,-2.0646,Dusuk,1200.0,13.92,0.9234,1
Pyriproxyfen,Citrus fruits (group),0.5,0.01,20.9,0,-1.9737,Orta,1200.0,32.9,0.4172,0
Isotianil,"Oranges, sweet, sour (including Orange-like hybrids) (subgroup)",0.4,0.01,33.7,1,-2.0597,Dusuk,1200.0,5.86,0.2371,0
Diflubenzuron,Hay and/or straw of grasses for animal feed (subgroup),3.0,0.01,19.2,0,-1.9622,Orta,1200.0,201.63,2.1363,0
Bicyclopyrone,"Wheat, hay and/or straw",0.8,0.01,18.9,0,-1.9604,Orta,1200.0,45.28,1.095,1
Bifenthrin,Pulses (group),0.3,0.01,25.3,1,-2.0028,Dusuk,1200.0,7.42,0.4065,1
Dimethomorph,Meat (from mammals other than marine mammals),0.01,0.01,30.5,1,-2.0382,Dusuk,1200.0,0.1,0.0094,0
Aminopyralid,Wheat,0.1,0.01,33.2,1,-2.0559,Dusuk,1200.0,0.56,0.048,0
Clofentezine,Strawberry,2.0,0.01,27.9,1,-2.0206,Dusuk,1200.0,20.69,1.8791,0
Folpet,Apple,10.0,0.01,34.0,1,-2.0613,Dusuk,1200.0,559.16,13.3121,1
Trifloxystrobin,Stone fruits (group),3.0,0.01,22.2,0,-1.9822,Orta,1200.0,155.15,3.6803,1
Bitertanol,Plums (including fresh prunes) (subgroup),2.0,0.01,33.2,1,-2.0561,Dusuk,1200.0,12.41,1.3136,0
Thiamethoxam,Pulses (group),0.04,0.01,26.6,1,-2.0118,Dusuk,1200.0,0.85,0.0276,0
Abamectin,Peaches (including apricots and nectarine) (subgroup),0.03,2e-07,34.2,1,-6.9092,Cok Dusuk (Kalici),1160.0,0.16,0.0371,1
Cypermethrins (including alpha- and zeta- cypermethrin),Bulb onions (subgroup),0.05,0.01,30.9,1,-2.0406,Dusuk,1200.0,0.8,0.0271,0
2-Phenylphenol,Orange juice,0.5,0.01,32.9,1,-2.0544,Dusuk,1200.0,4.79,0.356,0
Pyrimethanil,Almonds,0.2,0.01,29.1,1,-2.0286,Dusuk,1200.0,2.64,0.2921,1
Flufenoxuron,Edible offal (mammalian),0.05,0.01,24.5,0,-1.9977,Orta,1200.0,3.47,0.0677,1
Bicyclopyrone,"Barley bran, processed",0.1,0.01,23.2,0,-1.9887,Orta,1200.0,3.81,0.0764,0
Fluensulfone,Sugar cane molasses,0.5,0.01,22.5,0,-1.984,Orta,1200.0,18.38,0.2731,0
Flumioxazin,"Fruiting vegetables, cucurbits (group)",0.02,0.01,23.8,0,-1.9928,Orta,1200.0,0.62,0.0095,0
Fenbuconazole,Pome fruits (group),0.5,0.01,23.9,0,-1.9936,Orta,1200.0,25.04,0.5655,1
Dinotefuran,Rice,8.0,0.01,18.3,0,-1.9558,Orta,1200.0,1434.34,11.7527,1
Flubendiamide,Milks,0.1,0.01,30.4,1,-2.0375,Dusuk,1200.0,0.84,0.0495,0
Fenthion,"Rice, husked",0.05,0.01,30.9,1,-2.0406,Dusuk,1200.0,0.67,0.0496,0
Flupyradifurone,Sweet corn (corn-on-the-cob),0.05,0.01,18.2,0,-1.9553,Orta,1200.0,4.71,0.0686,1
Tebuconazole,Papaya,2.0,0.01,29.9,1,-2.0337,Dusuk,1200.0,27.83,1.4357,0
Indoxacarb,Edible offal (mammalian),0.05,0.01,21.3,0,-1.9761,Orta,1200.0,7.5,0.0726,1
Saflufenacil,Banana,0.01,0.01,18.4,0,-1.9564,Orta,1200.0,1.02,0.0131,1
Tebuconazole,Prunes,3.0,0.01,24.7,0,-1.9988,Orta,1200.0,405.34,2.7774,0
Pirimicarb,Poultry meat,0.01,0.01,27.6,1,-2.0187,Dusuk,1200.0,0.26,0.0099,0
Hexythiazox,"Tea, green, black (black, fermented and dried)",15.0,0.01,16.2,0,-1.9417,Orta,1200.0,696.13,10.2179,0
Endosulfan,"Spices, roots and rhizomes",0.5,0.01,19.0,0,-1.9606,Orta,1200.0,45.54,0.4046,0
Spirodiclofen,Avocado,0.9,0.01,21.5,0,-1.9772,Orta,1200.0,75.45,0.9074,1
Trifloxystrobin,Bean (dry),0.01,0.01,16.7,0,-1.9456,Orta,1200.0,0.88,0.0065,0
Folpet,Grapes,10.0,0.01,28.0,1,-2.0215,Dusuk,1200.0,149.37,9.7836,0
Paraquat,"Poultry, edible offal of",0.005,0.01,17.1,0,-1.9483,Orta,1200.0,0.88,0.0073,1
Fenamidone,Garlic,0.15,0.01,34.4,1,-2.0643,Dusuk,1200.0,5.71,0.1682,1
Fenamiphos,"Cabbages, head",0.05,0.01,28.9,1,-2.0275,Dusuk,1200.0,0.4,0.0286,0
Tebufenozide,Edible offal (mammalian),0.02,0.01,31.6,1,-2.0451,Dusuk,1200.0,0.26,0.0175,0
Bifenthrin,Milk fats,3.0,0.01,31.8,1,-2.0468,Dusuk,1200.0,32.81,2.3518,0
Quinclorac,Rape seed,0.15,0.01,25.9,1,-2.0069,Dusuk,1200.0,2.54,0.1111,0
Cyfluthrin/beta-cyfluthrin,Soya bean (dry),0.03,0.01,19.8,0,-1.9662,Orta,1200.0,1.61,0.0377,1
Heptachlor,"Soya bean oil, crude",0.5,0.01,23.5,0,-1.9909,Orta,1200.0,32.64,0.7011,1
Clofentezine,Citrus fruits (group),0.5,0.01,22.6,0,-1.9849,Orta,1200.0,49.13,0.3866,0
Imazamox,Poultry fats,0.01,0.01,29.7,1,-2.0325,Dusuk,1200.0,0.15,0.0113,1
Propamocarb,"Kale (including among others: Collards,curly,Scotch,thousand-headed; not including Marrow-stem kale)",20.0,0.01,30.1,1,-2.0355,Dusuk,1200.0,204.28,17.2775,0
Myclobutanil,Grapes,0.9,0.01,30.7,1,-2.0391,Dusuk,1200.0,6.82,0.7827,0
Penthiopyrad,"Wheat bran, unprocessed",0.2,0.01,26.2,1,-2.009,Dusuk,1200.0,3.17,0.2463,1
Pyriproxyfen,Gherkin,0.04,0.01,23.2,0,-1.989,Orta,1200.0,5.72,0.052,1
Sedaxane,Pulses (group),0.01,0.01,28.8,1,-2.0268,Dusuk,1200.0,0.17,0.0139,1
Profenofos,"Fennel, seed",0.1,0.01,18.0,0,-1.9538,Orta,1200.0,4.54,0.0883,0
Pinoxaden,Wheat,0.7,0.01,17.0,0,-1.9471,Orta,1200.0,67.99,0.5647,0
Dimethomorph,"Hops, dry",80.0,0.01,27.8,1,-2.0196,Dusuk,1200.0,731.99,41.135,0
Pyriofenone,Bush berries (subgroup),1.5,0.01,31.0,1,-2.0414,Dusuk,1200.0,27.61,1.2712,0
Etofenprox,Poultry meat,0.01,0.01,33.0,1,-2.0547,Dusuk,1200.0,0.1,0.0057,0
Penthiopyrad,Poultry fats,0.03,0.01,18.0,0,-1.9541,Orta,1200.0,1.69,0.0308,1
Dithianon,Table-grapes,2.0,0.01,34.7,1,-2.066,Dusuk,1200.0,31.96,2.181,1
Thiamethoxam,"Onion, bulb",0.02,0.01,17.9,0,-1.9532,Orta,1200.0,0.93,0.0141,0
Trifloxystrobin,Peanut fodder,5.0,0.01,29.3,1,-2.0299,Dusuk,1200.0,27.98,2.488,0
Tebufenozide,Tomato,1.0,0.01,18.1,0,-1.9549,Orta,1200.0,43.52,0.6764,0
Boscalid,Meat (from mammals other than marine mammals),0.7,0.01,21.1,0,-1.975,Orta,1200.0,93.15,0.85,1
Fluensulfone,Parsnip,4.0,0.01,32.3,1,-2.0501,Dusuk,1200.0,104.45,5.7683,1
Spinosad,Cattle milk fat,5.0,0.01,27.4,1,-2.0172,Dusuk,1200.0,60.26,7.0313,1
Bixafen,Meat (from mammals other than marine mammals),2.0,0.01,32.9,1,-2.0538,Dusuk,1200.0,41.53,2.6611,1
Flutianil,Apple,0.15,0.01,19.4,0,-1.9637,Orta,1200.0,9.51,0.1495,0
Diflubenzuron,"Peppers, sweet (including pimento or pimiento)",0.7,0.01,25.1,1,-2.0017,Dusuk,1200.0,7.9,0.5992,0
Acetamiprid,Cherries (subgroup),1.5,1e-06,19.0,0,-5.8812,Cok Dusuk (Kalici),1330.0,2.4,0.8095,0
Flutriafol,Almonds,0.8,0.01,25.9,1,-2.0068,Dusuk,1200.0,30.65,0.8855,1
Dinotefuran,Eggs,0.02,0.01,32.0,1,-2.0478,Dusuk,1200.0,0.93,0.0247,1
Fenpropimorph,"Wheat bran, unprocessed",0.2,0.01,18.9,0,-1.9599,Orta,1200.0,16.83,0.2432,1
Cyproconazole,"Soya bean oil, refined",0.1,0.01,31.4,1,-2.0436,Dusuk,1200.0,1.25,0.115,1
Trinexapac-ethyl,Sugar cane,0.5,0.01,23.0,0,-1.9877,Orta,1200.0,58.46,0.4224,0
Phosalone,"Spices, seeds",2.0,0.01,16.3,0,-1.9428,Orta,1200.0,176.16,1.4966,0
Carbendazim,Peanut fodder,3.0,0.01,29.6,1,-2.0322,Dusuk,1200.0,50.99,4.1115,1
Chlormequat,Poultry meat,0.04,0.01,34.0,1,-2.0616,Dusuk,1200.0,0.3,0.0269,0
Lufenuron,Melons (except watermelon),0.4,0.01,32.3,1,-2.0503,Dusuk,1200.0,6.7,0.3484,0
Permethrin,"Sunflower seed oil, crude",1.0,0.01,32.8,1,-2.0535,Dusuk,1200.0,52.11,1.1715,1
Parathion-Methyl,"Spices, fruits and berries",5.0,0.01,27.3,1,-2.0164,Dusuk,1200.0,57.42,3.7009,0
Chlordane,Poultry meat,0.5,0.01,28.6,1,-2.025,Dusuk,1200.0,2.66,0.2305,0
Saflufenacil,Wheat,0.7,0.01,24.2,0,-1.9958,Orta,1200.0,42.28,0.3633,0
Spirotetramat,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)",1.0,0.01,30.7,1,-2.0391,Dusuk,1200.0,25.51,0.8433,0
Fenbutatin Oxide,Chicken meat,0.05,0.01,27.7,1,-2.019,Dusuk,1200.0,0.6,0.0287,0
Prothioconazole,"Rape seed oil, edible",0.15,0.01,26.0,1,-2.0075,Dusuk,1200.0,1.3,0.1218,0
Dimethoate,Dry beans (subgroup),0.7,0.01,15.3,0,-1.9362,Orta,1200.0,34.91,0.3885,0
Fluindapyr,Almond hulls,20.0,0.01,33.6,1,-2.0586,Dusuk,1200.0,203.6,21.7308,1
Clethodim,Meat (from mammals other than marine mammals),0.2,0.01,27.3,1,-2.0161,Dusuk,1200.0,2.68,0.1848,0
Sedaxane,Sweet corn (corn-on-the-cob),0.01,0.01,30.8,1,-2.0397,Dusuk,1200.0,0.07,0.0065,0
Acetochlor,Barley,0.04,22.0,24.9,0,1.3425,Yuksek,1120.0,36.96,0.0483,1
Profenofos,Coffee beans,0.04,0.01,21.3,0,-1.9763,Orta,1200.0,6.47,0.06,1
Clethodim,"Sunflower seed oil, crude",0.1,0.01,29.2,1,-2.0293,Dusuk,1200.0,0.94,0.0855,0
Novaluron,"Fruiting vegetables, cucurbits (group)",0.2,0.01,23.8,0,-1.9932,Orta,1200.0,24.49,0.1557,0
Deltamethrin,Eggs,0.02,2e-06,16.7,0,-5.5425,Cok Dusuk (Kalici),500.0,0.37,0.021,1
Tebuconazole,"Squash, summer",0.2,0.01,17.6,0,-1.9511,Orta,1200.0,14.67,0.1596,0
Fenpropathrin,Almond hulls,10.0,0.01,32.9,1,-2.0543,Dusuk,1200.0,275.63,13.471,1
Quintozene,"Soya bean, hay and/or straw",0.01,0.01,25.6,1,-2.0051,Dusuk,1200.0,0.33,0.0113,1
Flupyradifurone,"Hops, dry",10.0,0.01,22.4,0,-1.9838,Orta,1200.0,612.57,13.8168,1
Boscalid,Tree nuts (group),0.05,0.01,20.4,0,-1.9701,Orta,1200.0,3.45,0.0436,0
Dimethoate,Brussels sprouts,0.1,0.01,30.1,1,-2.0354,Dusuk,1200.0,1.96,0.0493,0
Cypermethrins (including alpha- and zeta- cypermethrin),Milks,0.05,0.01,20.7,0,-1.9719,Orta,1200.0,3.8,0.064,1
Metrafenone,Barley,0.5,0.01,32.2,1,-2.0491,Dusuk,1200.0,9.29,0.5326,1
Imazalil,Barley,0.01,0.01,16.9,0,-1.9465,Orta,1200.0,1.15,0.0107,1
Haloxyfop,Poultry meat,0.7,0.01,22.8,0,-1.9864,Orta,1200.0,22.21,0.483,0
Isocycloseram,Peaches (including apricots and nectarine) (subgroup),0.3,0.01,26.1,1,-2.0082,Dusuk,1200.0,2.14,0.1648,0
Etofenprox,Maize,0.05,0.01,30.8,1,-2.0402,Dusuk,1200.0,0.31,0.031,0
Indoxacarb,Beans with pods (subgroup),0.9,0.01,19.2,0,-1.9621,Orta,1200.0,39.03,0.6386,0
Chlormequat,Wheat germ,20.0,0.01,21.1,0,-1.9747,Orta,1200.0,808.25,11.7211,0
Imidacloprid,Peanut fodder,30.0,4e-07,27.1,1,-6.447,Cok Dusuk (Kalici),1540.0,76.06,31.8374,1
Pyrimethanil,Common bean (pods and/or immature seeds),3.0,0.01,16.4,0,-1.9433,Orta,1200.0,239.31,2.0059,0
Abamectin,"Hops, dry",0.15,2e-07,33.2,1,-6.8877,Cok Dusuk (Kalici),1160.0,0.68,0.1427,0
Methoxyfenozide,Stone fruits (group),2.0,0.01,34.3,1,-2.0633,Dusuk,1200.0,23.66,0.9294,0
Pyriproxyfen,"Squash, summer",0.04,0.01,21.4,0,-1.9768,Orta,1200.0,2.41,0.0306,0
Chlorfenapyr,Garlic,0.01,0.01,27.2,1,-2.016,Dusuk,1200.0,0.1,0.0057,0
Dimethipin,Cotton seed,1.0,0.01,26.1,1,-2.0084,Dusuk,1200.0,11.64,1.1263,1
Hexythiazox,"Hops, dry",3.0,0.01,24.3,0,-1.9963,Orta,1200.0,81.93,1.8581,0
Sulfoxaflor,Elderberries,2.0,0.01,23.7,0,-1.9923,Orta,1200.0,171.63,2.445,1
Indoxacarb,Apple,0.5,0.01,24.6,0,-1.9982,Orta,1200.0,23.22,0.5678,1
Fipronil,Maize,0.01,0.01,15.7,0,-1.9385,Orta,1200.0,0.3,0.0053,0
Isocycloseram,"Pummelo and grapefruits (including Shaddock-like hybrids, among others Grapefruit) (subgroup)",0.3,0.01,24.4,0,-1.9972,Orta,1200.0,32.0,0.2174,0
Fenpyroximate,Edible offal (mammalian),0.8,0.01,34.2,1,-2.063,Dusuk,1200.0,6.86,0.7682,0
Lufenuron,Tomato,0.4,0.01,17.1,0,-1.9482,Orta,1200.0,76.04,0.4596,1
Flubendiamide,Milk fats,5.0,0.01,30.3,1,-2.0363,Dusuk,1200.0,56.87,4.9627,0
Fluensulfone,Radish,4.0,0.01,28.4,1,-2.0238,Dusuk,1200.0,51.31,5.0024,1
Tebufenozide,Blueberries,3.0,0.01,22.0,0,-1.9808,Orta,1200.0,95.3,2.019,0
Cypermethrins (including alpha- and zeta- cypermethrin),Pome fruits (group),0.7,0.01,33.3,1,-2.0566,Dusuk,1200.0,14.29,0.4362,0
Flutriafol,Peanut,0.15,0.01,16.5,0,-1.9443,Orta,1200.0,8.4,0.0858,0
Chlorfenapyr,Eggs,0.01,0.01,25.7,1,-2.006,Dusuk,1200.0,0.07,0.0076,0
Cycloxydim,Swede,0.2,0.01,29.5,1,-2.031,Dusuk,1200.0,1.87,0.1131,0
Teflubenzuron,Papaya,0.4,0.01,25.8,1,-2.0064,Dusuk,1200.0,10.46,0.5671,1
Methoxyfenozide,"Cabbages, head",7.0,0.01,31.9,1,-2.0474,Dusuk,1200.0,45.85,3.9541,0
Fluensulfone,"Radish, Japanese",4.0,0.01,19.7,0,-1.9653,Orta,1200.0,153.86,3.8203,0
Dimethenamid-P,"Sorghum straw and fodder, dry",0.01,0.01,27.3,1,-2.0164,Dusuk,1200.0,0.16,0.0073,0
Disulfoton,Cotton seed,0.1,0.01,25.7,1,-2.0057,Dusuk,1200.0,5.04,0.115,1
Mesotrione,Poultry meat,0.01,0.01,22.4,0,-1.9834,Orta,1200.0,0.4,0.009,0
Methoxyfenozide,Coffee beans,0.15,0.01,16.6,0,-1.9445,Orta,1200.0,23.46,0.1866,1
Triadimenol,Banana,1.0,0.01,29.0,1,-2.028,Dusuk,1200.0,17.26,0.8555,0
Triflumezopyrim,Poultry fats,0.01,0.01,23.8,0,-1.9926,Orta,1200.0,1.11,0.0127,1
Disulfoton,"Barley, hay and/or straw",3.0,0.01,28.6,1,-2.0249,Dusuk,1200.0,31.55,1.8218,0
Spiropidion,Potato,1.5,0.01,23.4,0,-1.9904,Orta,1200.0,176.78,1.9684,1
Trifloxystrobin,"Lettuce, leaf",15.0,0.01,27.6,1,-2.0183,Dusuk,1200.0,331.55,14.5771,0
Trifloxystrobin,"Hops, dry",40.0,0.01,23.6,0,-1.9918,Orta,1200.0,2470.97,56.1157,1
Omethoate,Poultry meat,0.001,0.01,31.9,1,-2.0473,Dusuk,1200.0,0.02,0.0013,1
Methomyl,"Soya bean, hay and/or straw",0.2,0.01,22.4,0,-1.9836,Orta,1200.0,38.76,0.2898,1
Aldicarb,Milks,0.01,4.0,29.2,1,0.6109,Yuksek,1190.0,1.79,0.0095,0
Cypermethrins (including alpha- and zeta- cypermethrin),Leafy vegetables (group),0.7,0.01,21.8,0,-1.9798,Orta,1200.0,51.63,0.9217,1
Saflufenacil,"Barley bran, unprocessed",3.0,0.01,31.7,1,-2.0462,Dusuk,1200.0,43.15,3.1267,1
Folpet,Cucumber,1.0,0.01,21.2,0,-1.9752,Orta,1200.0,32.84,0.6314,0
Tioxazafen,Milks,0.02,0.01,25.2,1,-2.0026,Dusuk,1200.0,0.19,0.0095,0
Azocyclotin,Grapes,0.3,0.01,33.6,1,-2.0584,Dusuk,1200.0,5.89,0.3194,1
Fenpropimorph,"Wheat bran, unprocessed",0.2,0.01,19.1,0,-1.9616,Orta,1200.0,24.95,0.2525,1
Clethodim,Edible offal (mammalian),0.2,0.01,25.0,1,-2.0013,Dusuk,1200.0,1.89,0.164,0
Cyflumetofen,"Nectarine, dried",2.0,0.01,17.6,0,-1.9517,Orta,1200.0,145.82,1.2113,0
Carbaryl,Meat (from mammals other than marine mammals),0.05,0.01,30.7,1,-2.039,Dusuk,1200.0,0.42,0.0297,0
Chlordane,"Rice, polished",0.02,0.01,17.5,0,-1.9506,Orta,1200.0,1.24,0.0289,1
Cypermethrins (including alpha- and zeta- cypermethrin),"Alfalfa, hay and/or straw",30.0,0.01,16.3,0,-1.9423,Orta,1200.0,2756.25,43.4189,1
Flupyradifurone,Peanut hay,30.0,0.01,32.2,1,-2.049,Dusuk,1200.0,185.96,16.9035,0
Piperonyl Butoxide,Meat (from mammals other than marine mammals),2.0,0.01,16.8,0,-1.9463,Orta,1200.0,94.56,1.6055,0
Imazapic,Soya bean (dry),0.5,0.01,17.9,0,-1.9533,Orta,1200.0,22.51,0.3069,0
Fenbuconazole,Peanut,0.1,0.01,34.8,1,-2.067,Dusuk,1200.0,1.27,0.0955,0
Ethion,"Spices, fruits and berries",5.0,0.01,24.1,0,-1.9952,Orta,1200.0,510.8,4.808,0
Heptachlor,Milks,0.006,0.01,22.4,0,-1.9832,Orta,1200.0,0.36,0.0076,1
Dithiocarbamates,Poultry meat,0.1,0.01,19.9,0,-1.9668,Orta,1200.0,9.81,0.0847,0
Penconazole,"Currant, black",2.0,0.01,17.2,0,-1.9488,Orta,1200.0,112.52,2.3634,1
Methamidophos,"Poultry, edible offal of",0.01,0.01,18.3,0,-1.9559,Orta,1200.0,0.61,0.0131,1
